nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,19.75,16.412,265,60,66,1.1
2018,17,15.484,503,80,103,1.2875
2019,18,17.204,428,80,113,1.4125
2020,21.7,20.25,419,55,71,1.290909091
2021,23.95,20.584,750,60,78,1.3
