nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,19,16.67,366,120,103,85,0.858333333,0.708333333,0.825242718
2018,16.5,15.535,453,120,85,57,0.708333333,0.475,0.670588235
2019,17,17.56,287,120,59,41,0.491666667,0.341666667,0.694915254
2020,20.25,20.765,222,80,42,32,0.525,0.4,0.761904762
2021,19.3,20.91,278,85,106,69,1.247058824,0.811764706,0.650943396
2022,19,21.26,378,70,76,76,1.085714286,1.085714286,1
