nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,19.75,16.412,265,60,66,49,1.1,0.816666667,0.742424242
2018,17,15.484,503,80,103,76,1.2875,0.95,0.737864078
2019,18,17.204,428,80,113,86,1.4125,1.075,0.761061947
2020,21.7,20.25,419,55,71,60,1.290909091,1.090909091,0.845070423
2021,23.95,20.584,750,60,78,61,1.3,1.016666667,0.782051282
2022,22.9,20.902,576,55,91,88,1.654545455,1.6,0.967032967
