nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,21.25,16.412,486,60,73,56,1.216666667,0.933333333,0.767123288
2018,19.3,15.484,1003,80,99,86,1.2375,1.075,0.868686869
2019,21.2,17.204,760,80,99,86,1.2375,1.075,0.868686869
2020,24.6,20.25,1159,65,91,83,1.4,1.276923077,0.912087912
2021,25.65,20.584,1687,65,72,58,1.107692308,0.892307692,0.805555556
2022,24.85,20.902,745,50,85,93,1.7,1.86,1.094117647
