nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,21.75,16.412,464,70,84,71,1.2,1.014285714,0.845238095
2018,19.25,15.484,640,80,98,77,1.225,0.9625,0.785714286
2019,21,17.204,552,80,101,84,1.2625,1.05,0.831683168
2020,23.8,20.25,672,80,107,93,1.3375,1.1625,0.869158879
2021,25.05,20.584,953,85,96,84,1.129411765,0.988235294,0.875
2022,24.25,20.902,539,75,107,115,1.426666667,1.533333333,1
