nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,19.5,16.67,488,120,140,111,1.166666667,0.925,0.792857143
2018,17,15.535,585,120,94,73,0.783333333,0.608333333,0.776595745
2019,17,17.56,422,120,91,70,0.758333333,0.583333333,0.769230769
2020,20,20.765,352,90,89,66,0.988888889,0.733333333,0.741573034
2021,22.7,20.91,555,95,128,103,1.347368421,1.084210526,0.8046875
2022,21,21.26,488,70,109,111,1.557142857,1.585714286,1.018348624
