nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,21.75,16.67,437,70,82,79,1.171428571,1.128571429,0.963414634
2018,19,15.535,717,80,112,104,1.4,1.3,0.928571429
2019,20,17.56,460,80,106,97,1.325,1.2125,0.91509434
2020,24.2,20.765,590,50,66,65,1.32,1.3,0.984848485
2021,25.4,20.91,825,55,64,60,1.163636364,1.090909091,0.9375
2022,25.05,21.26,567,35,65,68,1.857142857,1.942857143,1.046153846
