nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,thuc tuyen,ti le trung tuyen,ti le thuc tuyen,ti le hoc
2017,23.25,16.67,1912,170,206,188,1.21,1.1059,0.912
2018,20.25,15.535,2192,210,269,250,1.28,1.19,0.929
2019,22,17.56,1417,210,242,227,1.152,1.08,0.938
2020,25.1,20.765,1749,140,170,165,1.21,1.178,0.97
2021,25.9,20.91,2513,155,192,179,1.24,1.155,0.932
2022,25.85,21.26,1979,115,199,199,1.39,1.73,1
