nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,21.25,16.412,486,60,73,1.216666667
2018,19.3,15.484,1003,80,99,1.2375
2019,21.2,17.204,760,80,99,1.2375
2020,24.6,20.25,1159,65,91,1.4
2021,25.65,20.584,1687,65,72,1.107692308
