nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,20.5,16.412,343,60,68,1.133333333
2018,18.2,15.484,717,80,96,1.2
2019,19.7,17.204,605,80,108,1.35
2020,23.5,20.25,584,40,58,1.45
2021,25,20.9,891,40,50,1.25
