nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,19,16.67,366,120,103,0.858333333
2018,16.5,15.535,453,120,85,0.708333333
2019,17,17.56,287,120,59,0.491666667
2020,20.25,20.765,222,80,42,0.525
2021,19.3,20.91,278,85,106,1.247058824
