nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,21.75,16.412,464,70,84,1.2
2018,19.25,15.484,640,80,98,1.225
2019,21,17.204,552,80,101,1.2625
2020,23.8,20.25,672,80,107,1.3375
2021,25.05,20.584,953,85,96,1.129411765
