nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,23.25,0.555666667,0.1912,170,206,1.21
2018,20.25,0.517833333,0.2192,210,269,1.28
2019,22,0.585333333,0.1417,210,242,1.152
2020,25.1,0.692166667,0.1749,140,170,1.21
2021,25.9,0.697,0.2513,155,192,1.24
