nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,23.25,16.67,1912,170,206,1.21
2018,20.25,15.535,2192,210,269,1.28
2019,22,17.56,1417,210,242,1.152
2020,25.1,20.765,1749,140,170,1.21
2021,25.9,20.91,2513,155,192,1.24
