nam,diem chuan,dtb ca nuoc,tong dang ky,chi tieu,trung tuyen,ti le trung tuyen
2017,19.5,16.67,488,120,140,1.166666667
2018,17,15.535,585,120,94,0.783333333
2019,17,17.56,422,120,91,0.758333333
2020,20,20.765,352,90,89,0.988888889
2021,22.7,20.91,555,95,128,1.347368421
